Question,Trait,Reverse Scored
I like to work on cars,R,No
I like working outdoors,R,No
I am a practical person,R,No
I like to cook,R,No
I like to build things,R,No
I’m good at math,I,No
I like to analyze things (problems/situations),I,No
I enjoy science,I,No
I enjoy trying to figure out how things work,I,No
I like to do puzzles,I,No
I like to play instruments or sing,A,No
I enjoy creative writing,A,No
I like acting in plays,A,No
I like to draw,A,No
I like to read about art and music,A,No
I like helping people,S,No
I like to get into discussions about issues,S,No
I like to work in teams,S,No
I enjoy learning about other cultures,S,No
I like to teach or train people,S,No
I like selling things,E,No
I like to try to influence or persuade people,E,No
I like to lead,E,No
I like to give speeches,E,No
"I am an ambitious person, I set goals for myself",E,No
I like to have clear instructions to follow,C,No
I like working with numbers or charts,C,No
I like to do filing or typing,C,No
I am good at keeping records of my work,C,No
I wouldn’t mind working 8 hours per day in an office,C,No
